ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
10217,variation,,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,
10218,variation,,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,,,,,,,2,,,,,,,,,,
10219,variation,,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,,,,,,,3,,,,,,,,,,
10220,variation,,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,,,,,,,4,,,,,,,,,,
29705,simple,,,VERSANT CRICKET KIT BAG PLAYERS,-1,0,visible,"<p><br data-mce-bogus=""1""></p>",,,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,,,,,,,,,,,0,,,,,,,,,,
29743,simple,,,VERSANT SHOWMAN GLOVES,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,5499,6874,"Cricket > Batting Gloves, Cricket",,,"https://chhabrasports.com/wp-content/uploads/2026/01/94.png, https://chhabrasports.com/wp-content/uploads/2026/01/96.png, https://chhabrasports.com/wp-content/uploads/2026/01/97.png, https://chhabrasports.com/wp-content/uploads/2026/01/98.png, https://chhabrasports.com/wp-content/uploads/2026/01/95.png, https://chhabrasports.com/wp-content/uploads/2026/01/93.png, https://chhabrasports.com/wp-content/uploads/2026/01/94.png",,,,,,,,,,0,Versant,,,,,,,,,
29753,variable,,,VERSANT SHOWMAN BATTING GLOVES (GOAT SERIES),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Cricket > Batting Gloves, Cricket",,,"https://chhabrasports.com/wp-content/uploads/2026/01/99.png, https://chhabrasports.com/wp-content/uploads/2026/01/99.png, https://chhabrasports.com/wp-content/uploads/2026/01/100.png, https://chhabrasports.com/wp-content/uploads/2026/01/101.png, https://chhabrasports.com/wp-content/uploads/2026/01/102.png, https://chhabrasports.com/wp-content/uploads/2026/01/103.png, https://chhabrasports.com/wp-content/uploads/2026/01/104.png, https://chhabrasports.com/wp-content/uploads/2026/01/105.png, https://chhabrasports.com/wp-content/uploads/2026/01/106.png",,,,,,,,,,0,,Size,"ADULT LH, ADULT RH",1,1,,,,,
29763,simple,,,VERSANT' OG BATTING GLOVES,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,4199,5249,"Cricket > Batting Gloves, Cricket",,,"https://chhabrasports.com/wp-content/uploads/2026/01/73.png, https://chhabrasports.com/wp-content/uploads/2026/01/71.png, https://chhabrasports.com/wp-content/uploads/2026/01/72.png, https://chhabrasports.com/wp-content/uploads/2026/01/73.png, https://chhabrasports.com/wp-content/uploads/2026/01/74.png, https://chhabrasports.com/wp-content/uploads/2026/01/75.png, https://chhabrasports.com/wp-content/uploads/2026/01/76.png, https://chhabrasports.com/wp-content/uploads/2026/01/77.png, https://chhabrasports.com/wp-content/uploads/2026/01/78.png, https://chhabrasports.com/wp-content/uploads/2026/01/79.png, https://chhabrasports.com/wp-content/uploads/2026/01/80.png, https://chhabrasports.com/wp-content/uploads/2026/01/81.png, https://chhabrasports.com/wp-content/uploads/2026/01/82.png, https://chhabrasports.com/wp-content/uploads/2026/01/83.png, https://chhabrasports.com/wp-content/uploads/2026/01/84.png",,,,,,,,,,0,,,,,,,,,,
29780,simple,,,VERSANT SHOWMAN GRIND GLOVES,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,3799,4749,"Cricket > Batting Gloves, Cricket",,,"https://chhabrasports.com/wp-content/uploads/2026/01/94.png, https://chhabrasports.com/wp-content/uploads/2026/01/93.png, https://chhabrasports.com/wp-content/uploads/2026/01/94.png, https://chhabrasports.com/wp-content/uploads/2026/01/95.png, https://chhabrasports.com/wp-content/uploads/2026/01/96.png, https://chhabrasports.com/wp-content/uploads/2026/01/97.png, https://chhabrasports.com/wp-content/uploads/2026/01/98.png",,,,,,,,,,0,Versant,,,,,,,,,
29821,simple,,,VERSANT CRICKET KIT BAG PLAYERS (GC WHEELIE DUFFLE BAG),1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,6799,8499,"Cricket, Cricket > Kitbags",,,"https://chhabrasports.com/wp-content/uploads/2026/01/39.png, https://chhabrasports.com/wp-content/uploads/2026/01/37.png, https://chhabrasports.com/wp-content/uploads/2026/01/38.png, https://chhabrasports.com/wp-content/uploads/2026/01/39.png, https://chhabrasports.com/wp-content/uploads/2026/01/40.png",,,,,,,,,,0,Versant,,,,,,,,,
29827,simple,,,VERSANT' GC KIT BAG,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,6000,6799,"Cricket, Cricket > Kitbags",,,"https://chhabrasports.com/wp-content/uploads/2026/01/42.png, https://chhabrasports.com/wp-content/uploads/2026/01/41.png, https://chhabrasports.com/wp-content/uploads/2026/01/42.png, https://chhabrasports.com/wp-content/uploads/2026/01/43.png, https://chhabrasports.com/wp-content/uploads/2026/01/44.png",,,,,,,,,,0,Versant,,,,,,,,,
